claim,rating,url,title,sub-category,main-category,date
More than 100 whales are trapped in an underwater 'jail.',True,https://www.snopes.com/fact-check/whales-in-jails/,Are Over 100 Whales Trapped in Underwater ‘Jails’?,Politics,Fact Check,19 December 2018
A GoFundMe campaign raised millions of dollars for the construction of a border wall within a few days of its launch in December 2018. ,True,https://www.snopes.com/fact-check/gofundme-border-wall/,Did a GoFundMe Campaign to Fund a Border Wall Raise Millions of Dollars Within a Few Days?,Politics,Fact Check,20 December 2018
The late Penny Marshall donated her entire estate to President Donald Trump's 2020 re-election campaign.,False,https://www.snopes.com/fact-check/penny-marshall-donate-estate-trump/,Did Penny Marshall Donate Her Estate to Trump’s 2020 Election Campaign?,Junk News,Fact Check,18 December 2018
"A photograph of a topless, drinking woman pictures a young Christine Blasey Ford.",False,https://www.snopes.com/fact-check/blasey-online-photos/,Is This a Photograph of Christine Blasey Ford Partying?,Fauxtography,Fact Check,23 September 2018
"Photographs show Dr. Christine Blasey Ford with George Soros, Harvey Weinstein, and Bill Clinton.",False,https://www.snopes.com/fact-check/ford-george-soros/,Is This a Photograph of Christine Blasey Ford with Bill Clinton?,Fauxtography,Fact Check,25 September 2018
All the Congressional Democrats voted against a 2.8 percent Social Security cost of living allowance.,False,https://www.snopes.com/fact-check/democrats-vote-cola/,Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,Politics,Fact Check,18 October 2018
Four AI-controlled robots killed 29 scientists in Japan in August 2017. ,False,https://www.snopes.com/fact-check/ai-robots-kill-scientists/,Did Four AI Robots Kill 29 Scientists in Japan?,Junk News,Fact Check,19 December 2018
David “Avocado” Wolfe once posted a meme describing solar power as non-renewable because the light solar panels absorb is lost forever.,True,https://www.snopes.com/fact-check/solar-panels-drain-light/,Did David ‘Avocado’ Wolfe Post a Meme About Solar Panels Draining Light from the Sun?,Viral Phenomena,Fact Check,19 December 2018
A species of spider new to the U.S. has a lethal bite which killed five people in the summer of 2018.,False,https://www.snopes.com/fact-check/new-deadly-spider/,Did a ‘New Deadly Spider’ Species Kill Several People in the U.S. in the Summer of 2018?,Critter Country,Fact Check,22 August 2018
,,https://www.snopes.com/ap/2018/12/20/mattis-leaving-as-pentagon-chief-after-clashes-with-trump/,Mattis Leaving as Pentagon Chief After Clashes with Trump,U.S. Politics,Associated Press,20 December 2018
,,https://www.snopes.com/ap/2018/12/20/veteran-draws-millions-in-donations-for-trumps-border-wall/,Veteran Draws Millions in Donations for Trump’s Border Wall,U.S. Politics,Associated Press,20 December 2018
,,https://www.snopes.com/ap/2018/12/20/inmate-hitches-ride-with-officer-goes-back-to-jail/,"Inmate Hitches Ride with Officer, Goes Back to Jail",Odd News,Associated Press,20 December 2018
,,https://www.snopes.com/ap/2018/12/20/house-gop-approves-trumps-wall-money-as-shutdown-looms/,House GOP Approves Trump’s Wall Money as Shutdown Looms,U.S. Politics,Associated Press,20 December 2018
,,https://www.snopes.com/ap/2018/12/21/death-toll-in-czech-mine-explosion-increases-to-13/,Death Toll in Czech Mine Explosion Increases to 13,World News,Associated Press,21 December 2018
,,https://www.snopes.com/ap/2018/12/21/trump-call-with-turkish-leader-led-to-us-pullout-from-syria/,Trump Call with Turkish Leader Led to US Pullout from Syria,U.S. Politics,Associated Press,21 December 2018
,,https://www.snopes.com/ap/2018/12/21/pope-church-will-never-again-cover-up-clergy-sex-abuse/,Pope: Church Will ‘Never Again’ Cover Up Clergy Sex Abuse,Religion,Associated Press,21 December 2018
"A warning about ""another friend request"" alerts Facebook users about potential account ""cloning.""",False,https://www.snopes.com/fact-check/got-another-friend-request-facebook-warning/,‘Got Another Friend Request from You’ Facebook Warning,Computers,Fact Check,7 October 2018
